,icon,precipIntensity,temperature,windSpeed,visibility,nyc_time,year,month,day,hour
29,clear,0.0,0.011111111111112848,6.93,9.997,02/01/2015 05:00,2015,1,2,5
30,partly-cloudy,0.0,0.011111111111112848,10.29,9.997,02/01/2015 06:00,2015,1,2,6
31,partly-cloudy,0.0,0.011111111111112848,2.86,9.997,02/01/2015 07:00,2015,1,2,7
32,partly-cloudy,0.0,0.5944444444444446,3.4,9.997,02/01/2015 08:00,2015,1,2,8
33,partly-cloudy,0.0,1.7055555555555557,3.4,9.997,02/01/2015 09:00,2015,1,2,9
34,partly-cloudy,0.0,3.8944444444444435,10.29,9.997,02/01/2015 10:00,2015,1,2,10
35,partly-cloudy,0.0,5.0,6.35,9.997,02/01/2015 11:00,2015,1,2,11
36,partly-cloudy,0.0,5.594444444444445,6.45,9.997,02/01/2015 12:00,2015,1,2,12
37,partly-cloudy,0.0,6.099999999999998,5.77,9.997,02/01/2015 13:00,2015,1,2,13
38,partly-cloudy,0.0,5.644444444444442,11.39,9.997,02/01/2015 14:00,2015,1,2,14
39,partly-cloudy,0.0,6.099999999999998,5.14,9.997,02/01/2015 15:00,2015,1,2,15
40,partly-cloudy,0.0,5.594444444444445,4.03,9.997,02/01/2015 16:00,2015,1,2,16
41,partly-cloudy,0.0,4.400000000000001,3.33,9.997,02/01/2015 17:00,2015,1,2,17
42,partly-cloudy,0.0,3.8944444444444435,2.16,9.997,02/01/2015 18:00,2015,1,2,18
43,partly-cloudy,0.0,3.2944444444444443,6.93,9.997,02/01/2015 19:00,2015,1,2,19
44,partly-cloudy,0.0,2.7999999999999994,1.37,9.997,02/01/2015 20:00,2015,1,2,20
45,partly-cloudy,0.0,2.205555555555555,1.19,9.997,02/01/2015 21:00,2015,1,2,21
46,partly-cloudy,0.0,1.0999999999999983,0.71,9.997,02/01/2015 22:00,2015,1,2,22
47,partly-cloudy,0.0,1.0999999999999983,0.73,9.997,02/01/2015 23:00,2015,1,2,23
48,partly-cloudy,0.0,-0.5833333333333337,0.73,9.997,03/01/2015 00:00,2015,1,3,0
49,partly-cloudy,0.0,0.011111111111112848,0.81,9.997,03/01/2015 01:00,2015,1,3,1
50,clear,0.0,0.20555555555555413,0.74,9.997,03/01/2015 02:00,2015,1,3,2
51,partly-cloudy,0.0,0.011111111111112848,3.36,9.997,03/01/2015 03:00,2015,1,3,3
52,partly-cloudy,0.0,-0.5833333333333337,0.3,9.997,03/01/2015 04:00,2015,1,3,4
53,partly-cloudy,0.0,-0.5833333333333337,0.44,9.997,03/01/2015 05:00,2015,1,3,5
54,partly-cloudy,0.0,-1.7055555555555557,0.42,9.997,03/01/2015 06:00,2015,1,3,6
55,clear,0.0,-0.6611111111111119,0.84,9.997,03/01/2015 07:00,2015,1,3,7
56,partly-cloudy,0.0,0.5944444444444446,1.2,9.997,03/01/2015 08:00,2015,1,3,8
57,clear,0.0,1.7055555555555557,2.86,9.997,03/01/2015 09:00,2015,1,3,9
58,cloudy,0.0,2.205555555555555,3.4,9.997,03/01/2015 10:00,2015,1,3,10
59,cloudy,0.0,2.7999999999999994,5.82,9.997,03/01/2015 11:00,2015,1,3,11
60,cloudy,0.0,2.7999999999999994,2.85,3.002,03/01/2015 12:00,2015,1,3,12
61,sleet,0.0015,2.7999999999999994,2.08,7.002,03/01/2015 13:00,2015,1,3,13
62,sleet,0.0205,0.5944444444444446,1.54,0.752,03/01/2015 14:00,2015,1,3,14
63,sleet,0.0407,0.9888888888888895,5.82,1.091,03/01/2015 15:00,2015,1,3,15
64,rain,0.071,0.5944444444444446,1.79,1.561,03/01/2015 16:00,2015,1,3,16
65,rain,0.0453,1.0999999999999983,6.93,2.5,03/01/2015 17:00,2015,1,3,17
66,rain,0.1103,2.7999999999999994,1.58,2.5,03/01/2015 18:00,2015,1,3,18
67,rain,0.1027,3.6055555555555565,1.87,2.772,03/01/2015 19:00,2015,1,3,19
68,rain,0.0873,4.388888888888888,2.19,2.232,03/01/2015 20:00,2015,1,3,20
69,rain,0.0622,4.683333333333334,2.55,2.69,03/01/2015 21:00,2015,1,3,21
70,rain,0.0697,3.2944444444444443,2.34,2.756,03/01/2015 22:00,2015,1,3,22
71,rain,0.0394,3.8944444444444435,2.01,2.221,03/01/2015 23:00,2015,1,3,23
72,rain,0.0256,3.2944444444444443,1.71,1.95,04/01/2015 00:00,2015,1,4,0
73,rain,0.1417,3.8944444444444435,1.47,4.53,04/01/2015 01:00,2015,1,4,1
74,rain,0.0099,3.8944444444444435,0.74,3.002,04/01/2015 02:00,2015,1,4,2
75,rain,0.0118,4.400000000000001,1.16,3.002,04/01/2015 03:00,2015,1,4,3
76,fog,0.0,4.400000000000001,0.0,0.752,04/01/2015 04:00,2015,1,4,4
77,fog,0.0,4.400000000000001,0.0,0.525,04/01/2015 05:00,2015,1,4,5
78,fog,0.0,5.0,3.36,1.526,04/01/2015 06:00,2015,1,4,6
79,rain,0.0104,5.594444444444445,2.29,4.001,04/01/2015 07:00,2015,1,4,7
80,rain,0.0472,5.594444444444445,2.1,7.995,04/01/2015 08:00,2015,1,4,8
81,cloudy,0.0,6.700000000000001,1.94,8.996,04/01/2015 09:00,2015,1,4,9
82,rain,0.0078,7.194444444444446,2.49,8.996,04/01/2015 10:00,2015,1,4,10
83,cloudy,0.0,8.294444444444444,3.42,8.996,04/01/2015 11:00,2015,1,4,11
